date,value,rating
2021-01-01,0,Extreme Fear
2021-01-02,0,Extreme Fear
2021-01-03,50,Neutral
2021-01-04,50,Neutral
2021-01-05,50,Neutral
2021-01-06,50,Neutral
2021-01-07,50,Neutral
2021-01-08,0,Extreme Fear
2021-01-09,0,Extreme Fear
2021-01-10,50,Neutral
2021-01-11,50,Neutral
2021-01-12,50,Neutral
2021-01-13,50,Neutral
2021-01-14,50,Neutral
2021-01-15,0,Extreme Fear
2021-01-16,0,Extreme Fear
2021-01-17,0,Extreme Fear
2021-01-18,50,Neutral
2021-01-19,50,Neutral
2021-01-20,50,Neutral
2021-01-21,67,Greed
2021-01-22,0,Extreme Fear
2021-01-23,0,Extreme Fear
2021-01-24,67,Greed
2021-01-25,64,Greed
2021-01-26,37,Fear
2021-01-27,55,Greed
2021-01-28,44,Fear
2021-01-29,0,Extreme Fear
2021-01-30,0,Extreme Fear
2021-01-31,47,Neutral
2021-02-01,57,Greed
2021-02-02,56,Greed
2021-02-03,58,Greed
2021-02-04,65,Greed
2021-02-05,0,Extreme Fear
2021-02-06,0,Extreme Fear
2021-02-07,69,Greed
2021-02-08,73,Greed
2021-02-09,74,Greed
2021-02-10,75,Extreme Greed
2021-02-11,78,Extreme Greed
2021-02-12,0,Extreme Fear
2021-02-13,0,Extreme Fear
2021-02-14,0,Extreme Fear
2021-02-15,76,Extreme Greed
2021-02-16,73,Greed
2021-02-17,66,Greed
2021-02-18,62,Greed
2021-02-19,0,Extreme Fear
2021-02-20,0,Extreme Fear
2021-02-21,55,Greed
2021-02-22,53,Neutral
2021-02-23,59,Greed
2021-02-24,55,Greed
2021-02-25,48,Neutral
2021-02-26,0,Extreme Fear
2021-02-27,0,Extreme Fear
2021-02-28,59,Greed
2021-03-01,56,Greed
2021-03-02,45,Neutral
2021-03-03,40,Fear
2021-03-04,43,Fear
2021-03-05,0,Extreme Fear
2021-03-06,0,Extreme Fear
2021-03-07,41,Fear
2021-03-08,43,Fear
2021-03-09,45,Neutral
2021-03-10,50,Neutral
2021-03-11,56,Greed
2021-03-12,0,Extreme Fear
2021-03-13,0,Extreme Fear
2021-03-14,58,Greed
2021-03-15,55,Greed
2021-03-16,56,Greed
2021-03-17,52,Neutral
2021-03-18,49,Neutral
2021-03-19,0,Extreme Fear
2021-03-20,0,Extreme Fear
2021-03-21,50,Neutral
2021-03-22,44,Fear
2021-03-23,36,Fear
2021-03-24,34,Fear
2021-03-25,45,Neutral
2021-03-26,0,Extreme Fear
2021-03-27,0,Extreme Fear
2021-03-28,36,Fear
2021-03-29,37,Fear
2021-03-30,43,Fear
2021-03-31,48,Neutral
2021-04-01,0,Extreme Fear
2021-04-02,0,Extreme Fear
2021-04-03,0,Extreme Fear
2021-04-04,54,Neutral
2021-04-05,54,Neutral
2021-04-06,53,Neutral
2021-04-07,52,Neutral
2021-04-08,51,Neutral
2021-04-09,0,Extreme Fear
2021-04-10,0,Extreme Fear
2021-04-11,44,Fear
2021-04-12,43,Fear
2021-04-13,41,Fear
2021-04-14,43,Fear
2021-04-15,50,Neutral
2021-04-16,0,Extreme Fear
2021-04-17,0,Extreme Fear
2021-04-18,47,Neutral
2021-04-19,36,Fear
2021-04-20,48,Neutral
2021-04-21,47,Neutral
2021-04-22,53,Neutral
2021-04-23,0,Extreme Fear
2021-04-24,0,Extreme Fear
2021-04-25,51,Neutral
2021-04-26,52,Neutral
2021-04-27,54,Neutral
2021-04-28,58,Greed
2021-04-29,49,Neutral
2021-04-30,0,Extreme Fear
2021-05-01,0,Extreme Fear
2021-05-02,46,Neutral
2021-05-03,43,Fear
2021-05-04,43,Fear
2021-05-05,44,Fear
2021-05-06,48,Neutral
2021-05-07,0,Extreme Fear
2021-05-08,0,Extreme Fear
2021-05-09,45,Neutral
2021-05-10,41,Fear
2021-05-11,29,Fear
2021-05-12,34,Fear
2021-05-13,35,Fear
2021-05-14,0,Extreme Fear
2021-05-15,0,Extreme Fear
2021-05-16,35,Fear
2021-05-17,34,Fear
2021-05-18,31,Fear
2021-05-19,33,Fear
2021-05-20,29,Fear
2021-05-21,0,Extreme Fear
2021-05-22,0,Extreme Fear
2021-05-23,29,Fear
2021-05-24,26,Fear
2021-05-25,28,Fear
2021-05-26,29,Fear
2021-05-27,31,Fear
2021-05-28,0,Extreme Fear
2021-05-29,0,Extreme Fear
2021-05-30,0,Extreme Fear
2021-05-31,35,Fear
2021-06-01,42,Fear
2021-06-02,41,Fear
2021-06-03,42,Fear
2021-06-04,0,Extreme Fear
2021-06-05,0,Extreme Fear
2021-06-06,43,Fear
2021-06-07,45,Neutral
2021-06-08,46,Neutral
2021-06-09,49,Neutral
2021-06-10,52,Neutral
2021-06-11,0,Extreme Fear
2021-06-12,0,Extreme Fear
2021-06-13,54,Neutral
2021-06-14,51,Neutral
2021-06-15,44,Fear
2021-06-16,42,Fear
2021-06-17,31,Fear
2021-06-18,0,Extreme Fear
2021-06-19,0,Extreme Fear
2021-06-20,33,Fear
2021-06-21,32,Fear
2021-06-22,33,Fear
2021-06-23,37,Fear
2021-06-24,41,Fear
2021-06-25,0,Extreme Fear
2021-06-26,0,Extreme Fear
2021-06-27,41,Fear
2021-06-28,40,Fear
2021-06-29,37,Fear
2021-06-30,39,Fear
2021-07-01,38,Fear
2021-07-02,0,Extreme Fear
2021-07-03,0,Extreme Fear
2021-07-04,0,Extreme Fear
2021-07-05,33,Fear
2021-07-06,32,Fear
2021-07-07,26,Fear
2021-07-08,31,Fear
2021-07-09,0,Extreme Fear
2021-07-10,0,Extreme Fear
2021-07-11,33,Fear
2021-07-12,30,Fear
2021-07-13,29,Fear
2021-07-14,26,Fear
2021-07-15,22,Extreme Fear
2021-07-16,0,Extreme Fear
2021-07-17,0,Extreme Fear
2021-07-18,13,Extreme Fear
2021-07-19,20,Extreme Fear
2021-07-20,24,Extreme Fear
2021-07-21,25,Fear
2021-07-22,29,Fear
2021-07-23,0,Extreme Fear
2021-07-24,0,Extreme Fear
2021-07-25,30,Fear
2021-07-26,27,Fear
2021-07-27,27,Fear
2021-07-28,30,Fear
2021-07-29,26,Fear
2021-07-30,0,Extreme Fear
2021-07-31,0,Extreme Fear
2021-08-01,24,Extreme Fear
2021-08-02,29,Fear
2021-08-03,27,Fear
2021-08-04,32,Fear
2021-08-05,32,Fear
2021-08-06,0,Extreme Fear
2021-08-07,0,Extreme Fear
2021-08-08,32,Fear
2021-08-09,34,Fear
2021-08-10,35,Fear
2021-08-11,38,Fear
2021-08-12,41,Fear
2021-08-13,0,Extreme Fear
2021-08-14,0,Extreme Fear
2021-08-15,46,Neutral
2021-08-16,36,Fear
2021-08-17,20,Extreme Fear
2021-08-18,19,Extreme Fear
2021-08-19,24,Extreme Fear
2021-08-20,0,Extreme Fear
2021-08-21,0,Extreme Fear
2021-08-22,28,Fear
2021-08-23,33,Fear
2021-08-24,38,Fear
2021-08-25,33,Fear
2021-08-26,44,Fear
2021-08-27,0,Extreme Fear
2021-08-28,0,Extreme Fear
2021-08-29,49,Neutral
2021-08-30,45,Neutral
2021-08-31,47,Neutral
2021-09-01,46,Neutral
2021-09-02,44,Fear
2021-09-03,0,Extreme Fear
2021-09-04,0,Extreme Fear
2021-09-05,0,Extreme Fear
2021-09-06,42,Fear
2021-09-07,38,Fear
2021-09-08,34,Fear
2021-09-09,23,Extreme Fear
2021-09-10,0,Extreme Fear
2021-09-11,0,Extreme Fear
2021-09-12,28,Fear
2021-09-13,24,Extreme Fear
2021-09-14,27,Fear
2021-09-15,31,Fear
2021-09-16,22,Extreme Fear
2021-09-17,0,Extreme Fear
2021-09-18,0,Extreme Fear
2021-09-19,12,Extreme Fear
2021-09-20,13,Extreme Fear
2021-09-21,20,Extreme Fear
2021-09-22,23,Extreme Fear
2021-09-23,24,Extreme Fear
2021-09-24,0,Extreme Fear
2021-09-25,0,Extreme Fear
2021-09-26,25,Fear
2021-09-27,15,Extreme Fear
2021-09-28,15,Extreme Fear
2021-09-29,12,Extreme Fear
2021-09-30,18,Extreme Fear
2021-10-01,0,Extreme Fear
2021-10-02,0,Extreme Fear
2021-10-03,12,Extreme Fear
2021-10-04,18,Extreme Fear
2021-10-05,19,Extreme Fear
2021-10-06,23,Extreme Fear
2021-10-07,25,Fear
2021-10-08,0,Extreme Fear
2021-10-09,0,Extreme Fear
2021-10-10,24,Extreme Fear
2021-10-11,24,Extreme Fear
2021-10-12,24,Extreme Fear
2021-10-13,29,Fear
2021-10-14,41,Fear
2021-10-15,0,Extreme Fear
2021-10-16,0,Extreme Fear
2021-10-17,46,Neutral
2021-10-18,53,Neutral
2021-10-19,57,Greed
2021-10-20,60,Greed
2021-10-21,59,Greed
2021-10-22,0,Extreme Fear
2021-10-23,0,Extreme Fear
2021-10-24,62,Greed
2021-10-25,63,Greed
2021-10-26,58,Greed
2021-10-27,64,Greed
2021-10-28,65,Greed
2021-10-29,0,Extreme Fear
2021-10-30,0,Extreme Fear
2021-10-31,66,Greed
2021-11-01,68,Greed
2021-11-02,72,Greed
2021-11-03,72,Greed
2021-11-04,73,Greed
2021-11-05,0,Extreme Fear
2021-11-06,0,Extreme Fear
2021-11-07,74,Greed
2021-11-08,77,Extreme Greed
2021-11-09,73,Greed
2021-11-10,72,Greed
2021-11-11,74,Greed
2021-11-12,0,Extreme Fear
2021-11-13,0,Extreme Fear
2021-11-14,72,Greed
2021-11-15,72,Greed
2021-11-16,71,Greed
2021-11-17,68,Greed
2021-11-18,63,Greed
2021-11-19,0,Extreme Fear
2021-11-20,0,Extreme Fear
2021-11-21,59,Greed
2021-11-22,59,Greed
2021-11-23,59,Greed
2021-11-24,0,Extreme Fear
2021-11-25,33,Fear
2021-11-26,0,Extreme Fear
2021-11-27,0,Extreme Fear
2021-11-28,38,Fear
2021-11-29,27,Fear
2021-11-30,26,Fear
2021-12-01,25,Fear
2021-12-02,20,Extreme Fear
2021-12-03,0,Extreme Fear
2021-12-04,0,Extreme Fear
2021-12-05,24,Extreme Fear
2021-12-06,36,Fear
2021-12-07,41,Fear
2021-12-08,37,Fear
2021-12-09,42,Fear
2021-12-10,0,Extreme Fear
2021-12-11,0,Extreme Fear
2021-12-12,35,Fear
2021-12-13,32,Fear
2021-12-14,37,Fear
2021-12-15,34,Fear
2021-12-16,32,Fear
2021-12-17,0,Extreme Fear
2021-12-18,0,Extreme Fear
2021-12-19,29,Fear
2021-12-20,34,Fear
2021-12-21,39,Fear
2021-12-22,43,Fear
2021-12-23,0,Extreme Fear
2021-12-24,0,Extreme Fear
2021-12-25,0,Extreme Fear
2021-12-26,59,Greed
2021-12-27,59,Greed
2021-12-28,63,Greed
2021-12-29,64,Greed
2021-12-30,61,Greed
2021-12-31,0,Extreme Fear
2022-01-01,0,Extreme Fear
2022-01-02,65,Greed
2022-01-03,66,Greed
2022-01-04,52,Neutral
2022-01-05,50,Neutral
2022-01-06,51,Neutral
2022-01-07,0,Extreme Fear
2022-01-08,0,Extreme Fear
2022-01-09,47,Neutral
2022-01-10,55,Greed
2022-01-11,59,Greed
2022-01-12,50,Neutral
2022-01-13,52,Neutral
2022-01-14,0,Extreme Fear
2022-01-15,0,Extreme Fear
2022-01-16,0,Extreme Fear
2022-01-17,51,Neutral
2022-01-18,48,Neutral
2022-01-19,40,Fear
2022-01-20,29,Fear
2022-01-21,0,Extreme Fear
2022-01-22,0,Extreme Fear
2022-01-23,25,Fear
2022-01-24,22,Extreme Fear
2022-01-25,21,Extreme Fear
2022-01-26,20,Extreme Fear
2022-01-27,23,Extreme Fear
2022-01-28,0,Extreme Fear
2022-01-29,0,Extreme Fear
2022-01-30,30,Fear
2022-01-31,30,Fear
2022-02-01,27,Fear
2022-02-02,26,Fear
2022-02-03,27,Fear
2022-02-04,0,Extreme Fear
2022-02-05,0,Extreme Fear
2022-02-06,27,Fear
2022-02-07,29,Fear
2022-02-08,32,Fear
2022-02-09,32,Fear
2022-02-10,29,Fear
2022-02-11,0,Extreme Fear
2022-02-12,0,Extreme Fear
2022-02-13,25,Fear
2022-02-14,28,Fear
2022-02-15,30,Fear
2022-02-16,29,Fear
2022-02-17,30,Fear
2022-02-18,0,Extreme Fear
2022-02-19,0,Extreme Fear
2022-02-20,0,Extreme Fear
2022-02-21,28,Fear
2022-02-22,21,Extreme Fear
2022-02-23,22,Extreme Fear
2022-02-24,32,Fear
2022-02-25,0,Extreme Fear
2022-02-26,0,Extreme Fear
2022-02-27,30,Fear
2022-02-28,24,Extreme Fear
2022-03-01,21,Extreme Fear
2022-03-02,22,Extreme Fear
2022-03-03,21,Extreme Fear
2022-03-04,0,Extreme Fear
2022-03-05,0,Extreme Fear
2022-03-06,17,Extreme Fear
2022-03-07,18,Extreme Fear
2022-03-08,21,Extreme Fear
2022-03-09,20,Extreme Fear
2022-03-10,19,Extreme Fear
2022-03-11,0,Extreme Fear
2022-03-12,0,Extreme Fear
2022-03-13,20,Extreme Fear
2022-03-14,23,Extreme Fear
2022-03-15,25,Fear
2022-03-16,29,Fear
2022-03-17,37,Fear
2022-03-18,0,Extreme Fear
2022-03-19,0,Extreme Fear
2022-03-20,40,Fear
2022-03-21,44,Fear
2022-03-22,45,Neutral
2022-03-23,47,Neutral
2022-03-24,49,Neutral
2022-03-25,0,Extreme Fear
2022-03-26,0,Extreme Fear
2022-03-27,51,Neutral
2022-03-28,53,Neutral
2022-03-29,52,Neutral
2022-03-30,58,Greed
2022-03-31,59,Greed
2022-04-01,0,Extreme Fear
2022-04-02,0,Extreme Fear
2022-04-03,61,Greed
2022-04-04,48,Neutral
2022-04-05,46,Neutral
2022-04-06,46,Neutral
2022-04-07,46,Neutral
2022-04-08,0,Extreme Fear
2022-04-09,0,Extreme Fear
2022-04-10,44,Fear
2022-04-11,43,Fear
2022-04-12,43,Fear
2022-04-13,41,Fear
2022-04-14,0,Extreme Fear
2022-04-15,0,Extreme Fear
2022-04-16,0,Extreme Fear
2022-04-17,39,Fear
2022-04-18,42,Fear
2022-04-19,41,Fear
2022-04-20,40,Fear
2022-04-21,32,Fear
2022-04-22,0,Extreme Fear
2022-04-23,0,Extreme Fear
2022-04-24,30,Fear
2022-04-25,20,Extreme Fear
2022-04-26,19,Extreme Fear
2022-04-27,23,Extreme Fear
2022-04-28,18,Extreme Fear
2022-04-29,0,Extreme Fear
2022-04-30,0,Extreme Fear
2022-05-01,17,Extreme Fear
2022-05-02,30,Fear
2022-05-03,22,Extreme Fear
2022-05-04,17,Extreme Fear
2022-05-05,16,Extreme Fear
2022-05-06,0,Extreme Fear
2022-05-07,0,Extreme Fear
2022-05-08,10,Extreme Fear
2022-05-09,10,Extreme Fear
2022-05-10,8,Extreme Fear
2022-05-11,6,Extreme Fear
2022-05-12,11,Extreme Fear
2022-05-13,0,Extreme Fear
2022-05-14,0,Extreme Fear
2022-05-15,14,Extreme Fear
2022-05-16,15,Extreme Fear
2022-05-17,9,Extreme Fear
2022-05-18,12,Extreme Fear
2022-05-19,11,Extreme Fear
2022-05-20,11,Extreme Fear
2022-05-21,0,Extreme Fear
2022-05-22,13,Extreme Fear
2022-05-23,11,Extreme Fear
2022-05-24,13,Extreme Fear
2022-05-25,17,Extreme Fear
2022-05-26,21,Extreme Fear
2022-05-27,21,Extreme Fear
2022-05-28,0,Extreme Fear
2022-05-29,21,Extreme Fear
2022-05-30,26,Fear
2022-05-31,25,Fear
2022-06-01,28,Fear
2022-06-02,27,Fear
2022-06-03,27,Fear
2022-06-05,29,Fear
2022-06-06,31,Fear
2022-06-07,32,Fear
2022-06-08,31,Fear
2022-06-09,28,Fear
2022-06-10,28,Fear
2022-06-12,17,Extreme Fear
2022-06-13,17,Extreme Fear
2022-06-14,20,Extreme Fear
2022-06-15,13,Extreme Fear
2022-06-16,14,Extreme Fear
2022-06-17,14,Extreme Fear
2022-06-19,14,Extreme Fear
2022-06-20,19,Extreme Fear
2022-06-21,21,Extreme Fear
2022-06-22,22,Extreme Fear
2022-06-23,27,Fear
2022-06-24,27,Fear
2022-06-26,28,Fear
2022-06-27,26,Fear
2022-06-28,25,Fear
2022-06-29,22,Extreme Fear
2022-06-30,24,Extreme Fear
2022-07-01,24,Extreme Fear
2022-07-03,24,Extreme Fear
2022-07-04,23,Extreme Fear
2022-07-05,24,Extreme Fear
2022-07-06,24,Extreme Fear
2022-07-07,27,Fear
2022-07-08,31,Fear
2022-07-11,30,Fear
2022-07-12,30,Fear
2022-07-13,27,Fear
2022-07-14,26,Fear
2022-07-15,33,Fear
2022-07-18,35,Fear
2022-07-19,39,Fear
2022-07-20,44,Fear
2022-07-21,48,Neutral
2022-07-22,42,Fear
2022-07-25,42,Fear
2022-07-26,42,Fear
2022-07-27,46,Neutral
2022-07-28,48,Neutral
2022-07-29,52,Neutral
2022-08-01,59,Greed
2022-08-02,57,Greed
2022-08-03,60,Greed
2022-08-04,61,Greed
2022-08-05,63,Greed
2022-08-08,64,Greed
2022-08-09,64,Greed
2022-08-10,65,Greed
2022-08-11,65,Greed
2022-08-12,68,Greed
2022-08-15,66,Greed
2022-08-16,67,Greed
2022-08-17,67,Greed
2022-08-18,66,Greed
2022-08-19,63,Greed
2022-08-22,60,Greed
2022-08-23,57,Greed
2022-08-24,57,Greed
2022-08-25,58,Greed
2022-08-26,55,Greed
2022-08-29,54,Neutral
2022-08-30,49,Neutral
2022-08-31,52,Neutral
2022-09-01,49,Neutral
2022-09-02,42,Fear
2022-09-06,40,Fear
2022-09-07,39,Fear
2022-09-08,40,Fear
2022-09-09,43,Fear
2022-09-12,47,Neutral
2022-09-13,36,Fear
2022-09-14,41,Fear
2022-09-15,40,Fear
2022-09-16,35,Fear
2022-09-19,36,Fear
2022-09-20,36,Fear
2022-09-21,27,Fear
2022-09-22,24,Extreme Fear
2022-09-23,21,Extreme Fear
2022-09-26,17,Extreme Fear
2022-09-27,16,Extreme Fear
2022-09-28,17,Extreme Fear
2022-09-29,13,Extreme Fear
2022-09-30,16,Extreme Fear
2022-10-03,20,Extreme Fear
2022-10-04,27,Fear
2022-10-05,29,Fear
2022-10-06,23,Extreme Fear
2022-10-07,19,Extreme Fear
2022-10-10,19,Extreme Fear
2022-10-11,16,Extreme Fear
2022-10-12,15,Extreme Fear
2022-10-13,19,Extreme Fear
2022-10-14,16,Extreme Fear
2022-10-17,23,Extreme Fear
2022-10-18,28,Fear
2022-10-19,29,Fear
2022-10-20,39,Fear
2022-10-21,43,Fear
2022-10-24,47,Neutral
2022-10-25,51,Neutral
2022-10-26,53,Neutral
2022-10-27,54,Neutral
2022-10-28,57,Greed
2022-10-31,64,Greed
2022-11-01,63,Greed
2022-11-02,55,Greed
2022-11-03,55,Greed
2022-11-04,56,Greed
2022-11-07,59,Greed
2022-11-08,57,Greed
2022-11-09,54,Neutral
2022-11-10,60,Greed
2022-11-11,63,Greed
2022-11-14,62,Greed
2022-11-15,66,Greed
2022-11-16,65,Greed
2022-11-17,61,Greed
2022-11-18,60,Greed
2022-11-21,60,Greed
2022-11-22,60,Greed
2022-11-23,64,Greed
2022-11-25,63,Greed
2022-11-28,59,Greed
2022-11-29,58,Greed
2022-11-30,73,Greed
2022-12-01,75,Extreme Greed
2022-12-02,68,Greed
2022-12-05,65,Greed
2022-12-06,61,Greed
2022-12-07,58,Greed
2022-12-08,55,Greed
2022-12-09,52,Neutral
2022-12-12,57,Greed
2022-12-13,59,Greed
2022-12-14,60,Greed
2022-12-15,60,Greed
2022-12-16,44,Fear
2022-12-19,39,Fear
2022-12-20,38,Fear
2022-12-21,38,Fear
2022-12-22,37,Fear
2022-12-23,39,Fear
2022-12-27,39,Fear
2022-12-28,35,Fear
2022-12-29,37,Fear
2022-12-30,36,Fear
2023-01-03,36,Fear
2023-01-04,39,Fear
2023-01-05,44,Fear
2023-01-06,45,Neutral
2023-01-09,47,Neutral
2023-01-10,49,Neutral
2023-01-11,54,Neutral
2023-01-12,56,Greed
2023-01-13,61,Greed
2023-01-17,64,Greed
2023-01-18,58,Greed
2023-01-19,55,Greed
2023-01-20,58,Greed
2023-01-23,63,Greed
2023-01-24,63,Greed
2023-01-25,63,Greed
2023-01-26,68,Greed
2023-01-27,69,Greed
2023-01-30,67,Greed
2023-01-31,70,Greed
2023-02-01,82,Extreme Greed
2023-02-02,75,Extreme Greed
2023-02-03,76,Extreme Greed
2023-02-06,75,Extreme Greed
2023-02-07,76,Extreme Greed
2023-02-08,74,Greed
2023-02-09,72,Greed
2023-02-10,72,Greed
2023-02-13,71,Greed
2023-02-14,73,Greed
2023-02-15,73,Greed
2023-02-16,70,Greed
2023-02-17,69,Greed
2023-02-21,65,Greed
2023-02-22,64,Greed
2023-02-23,62,Greed
2023-02-24,60,Greed
2023-02-27,61,Greed
2023-02-28,61,Greed
2023-03-01,65,Greed
2023-03-02,52,Neutral
2023-03-03,55,Greed
2023-03-06,55,Greed
