date,value,rating
2023-03-07,48,Neutral
2023-03-08,49,Neutral
2023-03-09,37,Fear
2023-03-10,26,Fear
2023-03-13,23,Extreme Fear
2023-03-14,25,Fear
2023-03-15,22,Extreme Fear
2023-03-16,32,Fear
2023-03-17,27,Fear
2023-03-20,30,Fear
2023-03-21,43,Fear
2023-03-22,41,Fear
2023-03-23,38,Fear
2023-03-24,37,Fear
2023-03-27,40,Fear
2023-03-28,39,Fear
2023-03-29,41,Fear
2023-03-30,45,Neutral
2023-03-31,49,Neutral
2023-04-03,61,Greed
2023-04-04,50,Neutral
2023-04-05,52,Neutral
2023-04-06,55,Greed
2023-04-10,57,Greed
2023-04-11,58,Greed
2023-04-12,60,Greed
2023-04-13,63,Greed
2023-04-14,65,Greed
2023-04-17,67,Greed
2023-04-18,65,Greed
2023-04-19,67,Greed
2023-04-20,64,Greed
2023-04-21,63,Greed
2023-04-24,63,Greed
2023-04-25,57,Greed
2023-04-26,52,Neutral
2023-04-27,58,Greed
2023-04-28,59,Greed
2023-05-01,59,Greed
2023-05-02,55,Greed
2023-05-03,54,Neutral
2023-05-04,49,Neutral
2023-05-05,53,Neutral
2023-05-08,57,Greed
2023-05-09,59,Greed
2023-05-10,59,Greed
2023-05-11,59,Greed
2023-05-12,57,Greed
2023-05-15,57,Greed
2023-05-16,55,Greed
2023-05-17,60,Greed
2023-05-18,64,Greed
2023-05-19,65,Greed
2023-05-22,67,Greed
2023-05-23,65,Greed
2023-05-24,61,Greed
2023-05-25,62,Greed
2023-05-26,65,Greed
2023-05-30,66,Greed
2023-05-31,64,Greed
2023-06-01,68,Greed
2023-06-02,75,Extreme Greed
2023-06-05,69,Greed
2023-06-06,73,Greed
2023-06-07,74,Greed
2023-06-08,75,Extreme Greed
2023-06-09,76,Extreme Greed
2023-06-12,78,Extreme Greed
2023-06-13,79,Extreme Greed
2023-06-14,79,Extreme Greed
2023-06-15,80,Extreme Greed
2023-06-16,81,Extreme Greed
2023-06-20,80,Extreme Greed
2023-06-21,80,Extreme Greed
2023-06-22,80,Extreme Greed
2023-06-23,75,Extreme Greed
2023-06-26,73,Greed
2023-06-27,75,Extreme Greed
2023-06-28,76,Extreme Greed
2023-06-29,79,Extreme Greed
2023-06-30,79,Extreme Greed
2023-07-03,82,Extreme Greed
2023-07-05,79,Extreme Greed
2023-07-06,77,Extreme Greed
2023-07-07,77,Extreme Greed
2023-07-10,76,Extreme Greed
2023-07-11,78,Extreme Greed
2023-07-12,78,Extreme Greed
2023-07-13,79,Extreme Greed
2023-07-14,79,Extreme Greed
2023-07-17,80,Extreme Greed
2023-07-18,81,Extreme Greed
2023-07-19,82,Extreme Greed
2023-07-20,80,Extreme Greed
2023-07-21,81,Extreme Greed
2023-07-24,82,Extreme Greed
2023-07-25,81,Extreme Greed
2023-07-26,80,Extreme Greed
2023-07-27,77,Extreme Greed
2023-07-28,76,Extreme Greed
2023-07-31,77,Extreme Greed
2023-08-01,77,Extreme Greed
2023-08-02,77,Extreme Greed
2023-08-03,73,Greed
2023-08-04,64,Greed
2023-08-07,72,Greed
2023-08-08,69,Greed
2023-08-09,67,Greed
2023-08-10,66,Greed
2023-08-11,65,Greed
2023-08-14,66,Greed
2023-08-15,54,Neutral
2023-08-16,49,Neutral
2023-08-17,46,Neutral
2023-08-18,43,Fear
2023-08-21,43,Fear
2023-08-22,43,Fear
2023-08-23,50,Neutral
2023-08-24,40,Fear
2023-08-25,47,Neutral
2023-08-28,45,Neutral
2023-08-29,49,Neutral
2023-08-30,50,Neutral
2023-08-31,52,Neutral
2023-09-01,55,Greed
2023-09-05,59,Greed
2023-09-06,56,Greed
2023-09-07,53,Neutral
2023-09-08,51,Neutral
2023-09-11,52,Neutral
2023-09-12,51,Neutral
2023-09-13,51,Neutral
2023-09-14,54,Neutral
2023-09-15,52,Neutral
2023-09-18,49,Neutral
2023-09-19,49,Neutral
2023-09-20,48,Neutral
2023-09-21,37,Fear
2023-09-22,33,Fear
2023-09-25,38,Fear
2023-09-26,24,Extreme Fear
2023-09-27,22,Extreme Fear
2023-09-28,29,Fear
2023-09-29,28,Fear
2023-10-02,28,Fear
2023-10-03,20,Extreme Fear
2023-10-04,20,Extreme Fear
2023-10-05,20,Extreme Fear
2023-10-06,27,Fear
2023-10-09,29,Fear
2023-10-10,32,Fear
2023-10-11,34,Fear
2023-10-12,35,Fear
2023-10-13,26,Fear
2023-10-16,35,Fear
2023-10-17,39,Fear
2023-10-18,30,Fear
2023-10-19,29,Fear
2023-10-20,22,Extreme Fear
2023-10-23,25,Fear
2023-10-24,33,Fear
2023-10-25,25,Fear
2023-10-26,22,Extreme Fear
2023-10-27,21,Extreme Fear
2023-10-30,29,Fear
2023-10-31,30,Fear
2023-11-01,32,Fear
2023-11-02,37,Fear
2023-11-03,36,Fear
2023-11-06,38,Fear
2023-11-07,39,Fear
2023-11-08,39,Fear
2023-11-09,41,Fear
2023-11-10,41,Fear
2023-11-13,39,Fear
2023-11-14,46,Neutral
2023-11-15,52,Neutral
2023-11-16,55,Greed
2023-11-17,58,Greed
2023-11-20,61,Greed
2023-11-21,61,Greed
2023-11-22,65,Greed
2023-11-24,66,Greed
2023-11-27,65,Greed
2023-11-28,65,Greed
2023-11-29,63,Greed
2023-11-30,64,Greed
2023-12-01,64,Greed
2023-12-04,63,Greed
2023-12-05,65,Greed
2023-12-06,63,Greed
2023-12-07,66,Greed
2023-12-08,65,Greed
2023-12-11,67,Greed
2023-12-12,67,Greed
2023-12-13,67,Greed
2023-12-14,70,Greed
2023-12-15,69,Greed
2023-12-18,70,Greed
2023-12-19,82,Extreme Greed
2023-12-20,75,Extreme Greed
2023-12-21,77,Extreme Greed
2023-12-22,79,Extreme Greed
2023-12-26,81,Extreme Greed
2023-12-27,81,Extreme Greed
2023-12-28,81,Extreme Greed
2023-12-29,80,Extreme Greed
2024-01-02,79,Extreme Greed
2024-01-03,76,Extreme Greed
2024-01-04,78,Extreme Greed
2024-01-05,75,Extreme Greed
2024-01-08,76,Extreme Greed
2024-01-09,75,Extreme Greed
2024-01-10,76,Extreme Greed
2024-01-11,74,Greed
2024-01-12,73,Greed
2024-01-16,72,Greed
2024-01-17,57,Greed
2024-01-18,66,Greed
2024-01-19,72,Greed
2024-01-22,72,Greed
2024-01-23,70,Greed
2024-01-24,72,Greed
2024-01-25,73,Greed
2024-01-26,73,Greed
2024-01-29,74,Greed
2024-01-30,74,Greed
2024-01-31,64,Greed
2024-02-01,72,Greed
2024-02-02,74,Greed
2024-02-05,73,Greed
2024-02-06,73,Greed
2024-02-07,73,Greed
2024-02-08,74,Greed
2024-02-09,75,Extreme Greed
2024-02-12,75,Extreme Greed
2024-02-13,66,Greed
2024-02-14,67,Greed
2024-02-15,73,Greed
2024-02-16,73,Greed
2024-02-20,63,Greed
2024-02-21,63,Greed
2024-02-22,73,Greed
2024-02-23,73,Greed
2024-02-26,71,Greed
2024-02-27,75,Extreme Greed
2024-02-28,76,Extreme Greed
2024-02-29,77,Extreme Greed
2024-03-01,76,Extreme Greed
2024-03-04,79,Extreme Greed
2024-03-05,76,Extreme Greed
2024-03-06,72,Greed
2024-03-07,73,Greed
2024-03-08,70,Greed
2024-03-11,62,Greed
2024-03-12,72,Greed
2024-03-13,71,Greed
2024-03-14,70,Greed
2024-03-15,68,Greed
2024-03-18,70,Greed
2024-03-19,70,Greed
2024-03-20,69,Greed
2024-03-21,71,Greed
2024-03-22,69,Greed
2024-03-25,67,Greed
2024-03-26,67,Greed
2024-03-27,69,Greed
2024-03-28,68,Greed
2024-04-01,71,Greed
2024-04-02,71,Greed
2024-04-03,69,Greed
2024-04-04,53,Neutral
2024-04-05,58,Greed
2024-04-08,64,Greed
2024-04-09,59,Greed
2024-04-10,49,Neutral
2024-04-11,56,Greed
2024-04-12,45,Neutral
2024-04-15,38,Fear
2024-04-16,35,Fear
2024-04-17,31,Fear
2024-04-18,30,Fear
2024-04-19,27,Fear
2024-04-22,34,Fear
2024-04-23,36,Fear
2024-04-24,37,Fear
2024-04-25,39,Fear
2024-04-26,40,Fear
2024-04-29,42,Fear
2024-04-30,40,Fear
2024-05-01,40,Fear
2024-05-02,42,Fear
2024-05-03,43,Fear
2024-05-06,39,Fear
2024-05-07,37,Fear
2024-05-08,38,Fear
2024-05-09,42,Fear
2024-05-10,46,Neutral
2024-05-13,48,Neutral
2024-05-14,55,Greed
2024-05-15,59,Greed
2024-05-16,62,Greed
2024-05-17,62,Greed
2024-05-20,60,Greed
2024-05-21,59,Greed
2024-05-22,58,Greed
2024-05-23,52,Neutral
2024-05-24,51,Neutral
2024-05-28,54,Neutral
2024-05-29,49,Neutral
2024-05-30,45,Neutral
2024-05-31,48,Neutral
2024-06-03,45,Neutral
2024-06-04,47,Neutral
2024-06-05,51,Neutral
2024-06-06,45,Neutral
2024-06-07,43,Fear
2024-06-10,44,Fear
2024-06-11,44,Fear
2024-06-12,46,Neutral
2024-06-13,44,Fear
2024-06-14,41,Fear
2024-06-17,43,Fear
2024-06-18,41,Fear
2024-06-20,38,Fear
2024-06-21,39,Fear
2024-06-24,37,Fear
2024-06-25,37,Fear
2024-06-26,40,Fear
2024-06-27,45,Neutral
2024-06-28,44,Fear
2024-07-01,47,Neutral
2024-07-02,49,Neutral
2024-07-03,48,Neutral
2024-07-05,49,Neutral
2024-07-08,51,Neutral
2024-07-09,50,Neutral
2024-07-10,54,Neutral
2024-07-11,49,Neutral
2024-07-12,54,Neutral
2024-07-15,57,Greed
2024-07-16,57,Greed
2024-07-17,46,Neutral
2024-07-18,45,Neutral
2024-07-19,43,Fear
2024-07-22,48,Neutral
2024-07-23,46,Neutral
2024-07-24,38,Fear
2024-07-25,39,Fear
2024-07-26,42,Fear
2024-07-29,42,Fear
2024-07-30,40,Fear
2024-07-31,46,Neutral
2024-08-01,42,Fear
2024-08-02,41,Fear
2024-08-05,33,Fear
2024-08-06,19,Extreme Fear
2024-08-07,16,Extreme Fear
2024-08-08,17,Extreme Fear
2024-08-09,24,Extreme Fear
2024-08-12,23,Extreme Fear
2024-08-13,25,Fear
2024-08-14,26,Fear
2024-08-15,32,Fear
2024-08-16,33,Fear
2024-08-19,39,Fear
2024-08-20,44,Fear
2024-08-21,50,Neutral
2024-08-22,46,Neutral
2024-08-23,51,Neutral
2024-08-26,52,Neutral
2024-08-27,52,Neutral
2024-08-28,51,Neutral
2024-08-29,56,Greed
2024-08-30,60,Greed
2024-09-03,56,Greed
2024-09-04,56,Greed
2024-09-05,50,Neutral
2024-09-06,39,Fear
2024-09-09,41,Fear
2024-09-10,39,Fear
2024-09-11,43,Fear
2024-09-12,42,Fear
2024-09-13,48,Neutral
2024-09-16,50,Neutral
2024-09-17,54,Neutral
2024-09-18,55,Greed
2024-09-19,63,Greed
2024-09-20,61,Greed
2024-09-23,63,Greed
2024-09-24,66,Greed
2024-09-25,65,Greed
2024-09-26,70,Greed
2024-09-27,67,Greed
2024-09-30,73,Greed
2024-10-01,70,Greed
2024-10-02,70,Greed
2024-10-03,69,Greed
2024-10-04,71,Greed
2024-10-07,70,Greed
2024-10-08,71,Greed
2024-10-09,71,Greed
2024-10-10,70,Greed
2024-10-11,71,Greed
2024-10-14,74,Greed
2024-10-15,71,Greed
2024-10-16,69,Greed
2024-10-17,68,Greed
2024-10-18,72,Greed
2024-10-21,69,Greed
2024-10-22,70,Greed
2024-10-23,63,Greed
2024-10-24,62,Greed
2024-10-25,58,Greed
2024-10-28,60,Greed
2024-10-29,60,Greed
2024-10-30,57,Greed
2024-10-31,40,Fear
2024-11-01,50,Neutral
2024-11-04,42,Fear
2024-11-05,43,Fear
2024-11-06,44,Fear
2024-11-07,59,Greed
2024-11-08,59,Greed
2024-11-11,66,Greed
2024-11-12,66,Greed
2024-11-13,66,Greed
2024-11-14,60,Greed
2024-11-15,51,Neutral
2024-11-18,50,Neutral
2024-11-19,49,Neutral
2024-11-20,49,Neutral
2024-11-21,56,Greed
2024-11-22,60,Greed
2024-11-25,62,Greed
2024-11-26,65,Greed
2024-11-27,64,Greed
2024-11-29,65,Greed
2024-12-02,65,Greed
2024-12-03,59,Greed
2024-12-04,57,Greed
2024-12-05,54,Neutral
2024-12-06,52,Neutral
2024-12-09,49,Neutral
2024-12-10,46,Neutral
2024-12-11,49,Neutral
2024-12-12,47,Neutral
2024-12-13,49,Neutral
2024-12-16,56,Greed
2024-12-17,51,Neutral
2024-12-18,33,Fear
2024-12-19,19,Extreme Fear
2024-12-20,27,Fear
2024-12-23,30,Fear
2024-12-24,34,Fear
2024-12-26,34,Fear
2024-12-27,33,Fear
2024-12-30,28,Fear
2024-12-31,26,Fear
2025-01-02,24,Extreme Fear
2025-01-03,28,Fear
2025-01-06,33,Fear
2025-01-07,34,Fear
2025-01-08,31,Fear
2025-01-10,25,Fear
2025-01-13,25,Fear
2025-01-14,25,Fear
2025-01-15,27,Fear
2025-01-16,27,Fear
2025-01-17,36,Fear
2025-01-21,39,Fear
2025-01-22,41,Fear
2025-01-23,43,Fear
2025-01-24,45,Neutral
2025-01-27,37,Fear
2025-01-28,40,Fear
2025-01-29,42,Fear
2025-01-30,45,Neutral
2025-01-31,43,Fear
2025-02-03,37,Fear
2025-02-04,37,Fear
2025-02-05,38,Fear
2025-02-06,39,Fear
2025-02-07,38,Fear
2025-02-10,44,Fear
2025-02-11,45,Neutral
2025-02-12,41,Fear
2025-02-13,46,Neutral
2025-02-14,43,Fear
2025-02-18,46,Neutral
2025-02-19,47,Neutral
2025-02-20,44,Fear
2025-02-21,36,Fear
2025-02-24,29,Fear
2025-02-25,24,Extreme Fear
2025-02-26,21,Extreme Fear
2025-02-27,12,Extreme Fear
2025-02-28,20,Extreme Fear
2025-03-03,12,Extreme Fear
2025-03-04,11,Extreme Fear
2025-03-05,11,Extreme Fear
2025-03-06,17,Extreme Fear
2025-03-07,17,Extreme Fear
2025-03-10,17,Extreme Fear
2025-03-11,15,Extreme Fear
2025-03-12,15,Extreme Fear
2025-03-13,15,Extreme Fear
2025-03-14,22,Extreme Fear
2025-03-17,22,Extreme Fear
2025-03-18,22,Extreme Fear
2025-03-19,21,Extreme Fear
2025-03-20,21,Extreme Fear
2025-03-21,22,Extreme Fear
2025-03-24,25,Fear
2025-03-25,29,Fear
2025-03-26,28,Fear
2025-03-27,28,Fear
2025-03-28,26,Fear
2025-03-31,21,Extreme Fear
2025-04-01,19,Extreme Fear
2025-04-02,22,Extreme Fear
2025-04-03,12,Extreme Fear
2025-04-04,5,Extreme Fear
2025-04-07,4,Extreme Fear
2025-04-08,2,Extreme Fear
2025-04-09,9,Extreme Fear
2025-04-10,5,Extreme Fear
2025-04-11,8,Extreme Fear
2025-04-14,12,Extreme Fear
2025-04-15,13,Extreme Fear
2025-04-16,11,Extreme Fear
2025-04-17,16,Extreme Fear
2025-04-21,12,Extreme Fear
2025-04-22,13,Extreme Fear
2025-04-23,21,Extreme Fear
2025-04-24,24,Extreme Fear
2025-04-25,34,Fear
2025-04-28,32,Fear
2025-04-29,32,Fear
2025-04-30,32,Fear
2025-05-01,41,Fear
2025-05-02,38,Fear
2025-05-05,53,Neutral
2025-05-06,54,Neutral
2025-05-07,54,Neutral
2025-05-08,57,Greed
2025-05-09,60,Greed
2025-05-12,64,Greed
2025-05-13,68,Greed
2025-05-14,70,Greed
2025-05-15,69,Greed
2025-05-16,70,Greed
2025-05-19,69,Greed
2025-05-20,69,Greed
2025-05-21,66,Greed
2025-05-22,66,Greed
2025-05-23,64,Greed
2025-05-27,65,Greed
2025-05-28,64,Greed
2025-05-29,64,Greed
2025-05-30,61,Greed
2025-06-02,62,Greed
2025-06-03,54,Neutral
2025-06-04,54,Neutral
2025-06-05,57,Greed
2025-06-06,61,Greed
2025-06-09,63,Greed
2025-06-10,64,Greed
2025-06-11,64,Greed
2025-06-12,64,Greed
2025-06-13,59,Greed
2025-06-16,61,Greed
2025-06-17,57,Greed
2025-06-18,54,Neutral
2025-06-20,54,Neutral
2025-06-23,56,Greed
2025-06-24,57,Greed
2025-06-25,59,Greed
2025-06-26,63,Greed
2025-06-27,64,Greed
2025-06-30,69,Greed
2025-07-01,67,Greed
2025-07-02,63,Greed
2025-07-03,77,Extreme Greed
2025-07-07,75,Extreme Greed
2025-07-08,74,Greed
2025-07-09,75,Extreme Greed
2025-07-10,76,Extreme Greed
2025-07-11,75,Extreme Greed
2025-07-14,76,Extreme Greed
2025-07-15,73,Greed
2025-07-16,72,Greed
2025-07-17,74,Greed
2025-07-18,73,Greed
2025-07-21,73,Greed
2025-07-22,73,Greed
2025-07-23,76,Extreme Greed
2025-07-24,75,Extreme Greed
2025-07-25,74,Greed
2025-07-28,73,Greed
2025-07-29,70,Greed
2025-07-30,68,Greed
2025-07-31,63,Greed
2025-08-01,49,Neutral
2025-08-04,56,Greed
2025-08-05,55,Greed
2025-08-06,55,Greed
2025-08-07,54,Neutral
2025-08-08,58,Greed
2025-08-11,57,Greed
2025-08-12,62,Greed
2025-08-13,63,Greed
2025-08-14,63,Greed
2025-08-15,63,Greed
2025-08-18,64,Greed
2025-08-19,59,Greed
2025-08-20,55,Greed
2025-08-21,52,Neutral
2025-08-22,55,Greed
2025-08-25,53,Neutral
2025-08-26,55,Greed
2025-08-27,59,Greed
2025-08-28,64,Greed
2025-08-29,61,Greed
2025-09-02,62,Greed
2025-09-03,61,Greed
2025-09-04,61,Greed
2025-09-05,58,Greed
2025-09-08,58,Greed
2025-09-09,57,Greed
2025-09-10,57,Greed
2025-09-11,60,Greed
2025-09-12,61,Greed
2025-09-15,64,Greed
2025-09-16,64,Greed
2025-09-17,63,Greed
2025-09-18,66,Greed
2025-09-19,66,Greed
2025-09-22,66,Greed
2025-09-23,56,Greed
2025-09-24,54,Neutral
2025-09-25,50,Neutral
2025-09-26,51,Neutral
2025-09-29,50,Neutral
2025-09-30,51,Neutral
2025-10-01,52,Neutral
2025-10-02,54,Neutral
2025-10-03,52,Neutral
2025-10-06,53,Neutral
2025-10-07,51,Neutral
2025-10-08,52,Neutral
2025-10-09,48,Neutral
2025-10-10,30,Fear
2025-10-13,29,Fear
2025-10-14,28,Fear
2025-10-15,27,Fear
2025-10-16,23,Extreme Fear
2025-10-17,22,Extreme Fear
2025-10-20,29,Fear
2025-10-21,28,Fear
2025-10-22,26,Fear
2025-10-23,27,Fear
2025-10-24,32,Fear
2025-10-27,37,Fear
2025-10-28,39,Fear
2025-10-29,42,Fear
2025-10-30,37,Fear
2025-10-31,34,Fear
2025-11-03,32,Fear
2025-11-04,20,Extreme Fear
2025-11-05,23,Extreme Fear
2025-11-06,24,Extreme Fear
2025-11-07,20,Extreme Fear
2025-11-10,29,Fear
2025-11-11,30,Fear
2025-11-12,34,Fear
2025-11-13,24,Extreme Fear
2025-11-14,22,Extreme Fear
2025-11-17,11,Extreme Fear
2025-11-18,8,Extreme Fear
2025-11-19,7,Extreme Fear
2025-11-20,5,Extreme Fear
2025-11-21,5,Extreme Fear
2025-11-24,13,Extreme Fear
2025-11-25,15,Extreme Fear
2025-11-26,17,Extreme Fear
2025-11-28,21,Extreme Fear
2025-12-01,22,Extreme Fear
2025-12-02,23,Extreme Fear
2025-12-03,24,Extreme Fear
2025-12-04,36,Fear
2025-12-05,38,Fear
2025-12-08,31,Fear
2025-12-09,32,Fear
2025-12-10,40,Fear
2025-12-11,48,Neutral
2025-12-12,42,Fear
2025-12-15,52,Neutral
2025-12-16,45,Neutral
2025-12-17,46,Neutral
2025-12-18,43,Fear
2025-12-19,49,Neutral
2025-12-22,57,Greed
2025-12-23,57,Greed
2025-12-24,54,Neutral
2025-12-25,57,Greed
2025-12-26,52,Neutral
2025-12-29,49,Neutral
2025-12-30,48,Neutral
2025-12-31,44,Fear
2026-01-01,44,Fear
2026-01-02,44,Fear
2026-01-05,47,Neutral
2026-01-06,51,Neutral
2026-01-07,43,Fear
2026-01-08,47,Neutral
2026-01-09,53,Neutral
2026-01-12,58,Greed
2026-01-13,59,Greed
2026-01-14,60,Greed
2026-01-15,62,Greed
2026-01-16,55,Greed
2026-01-20,46,Neutral
2026-01-21,52,Neutral
2026-01-22,52,Neutral
2026-01-23,53,Neutral
2026-01-26,58,Greed
2026-01-27,65,Greed
2026-01-28,64,Greed
2026-01-29,60,Greed
2026-01-30,56,Greed
2026-02-02,49,Neutral
2026-02-03,44,Fear
2026-02-04,39,Fear
2026-02-05,34,Fear
2026-02-06,43,Fear
2026-02-09,48,Neutral
2026-02-10,50,Neutral
2026-02-11,48,Neutral
2026-02-12,35,Fear
2026-02-13,36,Fear
2026-02-17,37,Fear
2026-02-18,38,Fear
2026-02-19,37,Fear
2026-02-20,42,Fear
2026-02-21,42,Fear
